openTime, openTimeStamp, open, high, low, close, volume, closeTime, closeTimeStamp, quoteAssetVolume, numberOfTrades, takerBuyBase, takerBuyQuote, IGNORE
1643673600000,2022 02 01 01:00:00,38466.9,39265.2,38000.0,38694.59,34574.445,1643759999999,2022 02 02 00:59:59,1.33426611E9,917617,17730.992,6.8444659E8,0.0
1643760000000,2022 02 02 01:00:00,38694.59,38855.92,36586.95,36896.36,35794.68,1643846399999,2022 02 03 00:59:59,1.35309389E9,907905,17251.438,6.5253312E8,0.0
1643846400000,2022 02 03 01:00:00,36896.37,37387.0,36250.0,37311.61,32081.11,1643932799999,2022 02 04 00:59:59,1.17950285E9,848961,16468.102,6.055305E8,0.0
1643932800000,2022 02 04 01:00:00,37311.98,41772.33,37026.73,41574.25,64703.957,1644019199999,2022 02 05 00:59:59,2.52657254E9,1380724,33053.668,1.29195341E9,0.0
1644019200000,2022 02 05 01:00:00,41571.7,41913.69,40843.01,41382.59,32532.344,1644105599999,2022 02 06 00:59:59,1.34980557E9,1006352,16566.086,6.8735283E8,0.0
1644105600000,2022 02 06 01:00:00,41382.6,42656.0,41116.56,42380.87,22405.168,1644191999999,2022 02 07 00:59:59,9.3416883E8,788291,11546.391,4.81652512E8,0.0
1644192000000,2022 02 07 01:00:00,42380.87,44500.5,41645.85,43839.99,51060.62,1644278399999,2022 02 08 00:59:59,2.20452352E9,1473274,25457.8,1.0999369E9,0.0
1644278400000,2022 02 08 01:00:00,43839.99,45492.0,42666.0,44042.99,64880.293,1644364799999,2022 02 09 00:59:59,2.84748595E9,1653350,33004.094,1.44817856E9,0.0
1644364800000,2022 02 09 01:00:00,44043.0,44799.0,43117.92,44372.72,34428.168,1644451199999,2022 02 10 00:59:59,1.5125001E9,1066395,17115.602,7.5221069E8,0.0
1644451200000,2022 02 10 01:00:00,44372.71,45821.0,43174.01,44683.64,52956.43,1644537599999,2022 02 11 00:59:59,2.35812864E9,1296125,25921.865,1.15492134E9,0.0
