openTime, openTimeStamp, open, high, low, close, volume, closeTime, closeTimeStamp, quoteAssetVolume, numberOfTrades, takerBuyBase, takerBuyQuote, IGNORE
1643670000000,2022 02 01 00:00:00,1.05,1.055,1.046,1.051,3135206.8,1643673599999,2022 02 01 00:59:59,3294378.0,4931,1665710.2,1750714.1,0.0
1643673600000,2022 02 01 01:00:00,1.052,1.056,1.043,1.045,3700359.5,1643677199999,2022 02 01 01:59:59,3880691.5,6269,1242809.8,1305169.2,0.0
1643677200000,2022 02 01 02:00:00,1.045,1.047,1.039,1.044,4600893.0,1643680799999,2022 02 01 02:59:59,4797132.5,6774,1673376.8,1745413.9,0.0
1643680800000,2022 02 01 03:00:00,1.043,1.046,1.034,1.045,5093447.0,1643684399999,2022 02 01 03:59:59,5297904.0,8287,2049063.2,2131801.0,0.0
1643684400000,2022 02 01 04:00:00,1.046,1.057,1.043,1.056,3122877.0,1643687999999,2022 02 01 04:59:59,3282066.2,7286,1734308.2,1823305.8,0.0
1643688000000,2022 02 01 05:00:00,1.057,1.063,1.051,1.055,5063927.5,1643691599999,2022 02 01 05:59:59,5361057.5,10000,3268989.0,3463098.8,0.0
1643691600000,2022 02 01 06:00:00,1.055,1.058,1.052,1.053,2242497.8,1643695199999,2022 02 01 06:59:59,2365450.8,4240,1289481.2,1360643.1,0.0
1643695200000,2022 02 01 07:00:00,1.053,1.053,1.044,1.049,3393850.8,1643698799999,2022 02 01 07:59:59,3558173.0,6548,1314742.8,1378814.4,0.0
1643698800000,2022 02 01 08:00:00,1.05,1.056,1.048,1.056,2026474.9,1643702399999,2022 02 01 08:59:59,2133582.8,4459,1248767.8,1315154.5,0.0
1643702400000,2022 02 01 09:00:00,1.056,1.063,1.053,1.062,4164678.0,1643705999999,2022 02 01 09:59:59,4407183.0,6968,2626787.5,2780127.0,0.0
1643706000000,2022 02 01 10:00:00,1.062,1.072,1.047,1.05,1.3558558E7,1643709599999,2022 02 01 10:59:59,1.4367901E7,25058,6610077.0,7006755.5,0.0
1643709600000,2022 02 01 11:00:00,1.051,1.055,1.044,1.05,5704155.5,1643713199999,2022 02 01 11:59:59,5982959.0,9002,2471035.5,2593077.8,0.0
1643713200000,2022 02 01 12:00:00,1.049,1.062,1.047,1.055,4364873.0,1643716799999,2022 02 01 12:59:59,4603502.5,7948,2402317.0,2533527.0,0.0
1643716800000,2022 02 01 13:00:00,1.055,1.064,1.053,1.063,3718153.5,1643720399999,2022 02 01 13:59:59,3936786.8,7129,2231724.2,2363531.2,0.0
1643720400000,2022 02 01 14:00:00,1.062,1.071,1.059,1.063,6817857.0,1643723999999,2022 02 01 14:59:59,7263985.0,12814,3895396.5,4152087.2,0.0
1643724000000,2022 02 01 15:00:00,1.063,1.074,1.056,1.06,1.1616321E7,1643727599999,2022 02 01 15:59:59,1.2381237E7,18638,5937821.0,6334414.5,0.0
