openTime, openTimeStamp, open, high, low, close, volume, closeTime, closeTimeStamp, quoteAssetVolume, numberOfTrades, takerBuyBase, takerBuyQuote, IGNORE
1643673600000,2022 02 01 01:00:00,2686.94,2813.0,2673.52,2787.23,390034.28,1643759999999,2022 02 02 00:59:59,1.07534144E9,790343,199367.05,5.4966304E8,0.0
1643760000000,2022 02 02 01:00:00,2787.48,2810.88,2612.72,2680.67,447852.12,1643846399999,2022 02 03 00:59:59,1.21595878E9,819863,225815.12,6.1311085E8,0.0
1643846400000,2022 02 03 01:00:00,2680.25,2726.64,2576.05,2695.46,405043.4,1643932799999,2022 02 04 00:59:59,1.06872416E9,726013,207767.14,5.4836371E8,0.0
1643932800000,2022 02 04 01:00:00,2695.21,2995.0,2671.4,2994.99,664002.94,1644019199999,2022 02 05 00:59:59,1.88974605E9,1235215,338287.34,9.6270144E8,0.0
1644019200000,2022 02 05 01:00:00,2994.99,3060.47,2958.01,3012.65,356803.3,1644105599999,2022 02 06 00:59:59,1.07397261E9,730502,184328.56,5.5494355E8,0.0
1644105600000,2022 02 06 01:00:00,3012.64,3074.56,2950.21,3054.99,249394.6,1644191999999,2022 02 07 00:59:59,7.4995763E8,522276,125512.03,3.7754912E8,0.0
1644192000000,2022 02 07 01:00:00,3055.0,3186.0,2991.8,3139.77,455070.25,1644278399999,2022 02 08 00:59:59,1.41060314E9,898923,236657.11,7.3376454E8,0.0
1644278400000,2022 02 08 01:00:00,3139.77,3232.87,3025.21,3116.69,514773.6,1644364799999,2022 02 09 00:59:59,1.60265293E9,910882,258325.73,8.0465773E8,0.0
1644364800000,2022 02 09 01:00:00,3116.69,3269.7,3055.0,3243.94,370267.9,1644451199999,2022 02 10 00:59:59,1.17144563E9,738015,200069.27,6.3352134E8,0.0
1644451200000,2022 02 10 01:00:00,3243.6,3283.66,3085.5,3140.95,491292.1,1644537599999,2022 02 11 00:59:59,1.56966118E9,872422,255088.88,8.1525069E8,0.0
