openTime, openTimeStamp, open, high, low, close, volume, closeTime, closeTimeStamp, quoteAssetVolume, numberOfTrades, takerBuyBase, takerBuyQuote, IGNORE
1643670000000,2022 02 01 00:00:00,2.138E-5,2.145E-5,2.133E-5,2.142E-5,9.375998E10,1643673599999,2022 02 01 00:59:59,2005723.4,4504,5.3127602E10,1136824.1,0.0
1643673600000,2022 02 01 01:00:00,2.143E-5,2.154E-5,2.135E-5,2.144E-5,1.16149748E11,1643677199999,2022 02 01 01:59:59,2490654.8,5890,6.0223926E10,1291541.1,0.0
1643677200000,2022 02 01 02:00:00,2.145E-5,2.147E-5,2.113E-5,2.129E-5,1.45884578E11,1643680799999,2022 02 01 02:59:59,3106850.5,7791,6.3374598E10,1349749.6,0.0
1643680800000,2022 02 01 03:00:00,2.129E-5,2.149E-5,2.121E-5,2.145E-5,1.11047746E11,1643684399999,2022 02 01 03:59:59,2373902.0,6828,6.2653288E10,1339433.2,0.0
1643684400000,2022 02 01 04:00:00,2.145E-5,2.181E-5,2.142E-5,2.173E-5,2.67136565E11,1643687999999,2022 02 01 04:59:59,5789891.0,15013,1.52571494E11,3306400.5,0.0
1643688000000,2022 02 01 05:00:00,2.174E-5,2.195E-5,2.16E-5,2.162E-5,1.94183987E11,1643691599999,2022 02 01 05:59:59,4225035.5,9319,1.00363354E11,2184364.5,0.0
1643691600000,2022 02 01 06:00:00,2.163E-5,2.175E-5,2.16E-5,2.162E-5,1.14386305E11,1643695199999,2022 02 01 06:59:59,2478831.2,4934,6.0600574E10,1313521.6,0.0
1643695200000,2022 02 01 07:00:00,2.162E-5,2.162E-5,2.142E-5,2.155E-5,1.52304746E11,1643698799999,2022 02 01 07:59:59,3277164.8,7258,7.2298029E10,1555503.8,0.0
1643698800000,2022 02 01 08:00:00,2.154E-5,2.173E-5,2.154E-5,2.172E-5,1.09343351E11,1643702399999,2022 02 01 08:59:59,2366917.5,6485,5.8985632E10,1277219.0,0.0
1643702400000,2022 02 01 09:00:00,2.172E-5,2.191E-5,2.158E-5,2.182E-5,2.81072173E11,1643705999999,2022 02 01 09:59:59,6117287.5,10706,1.72711985E11,3759447.5,0.0
