openTime, openTimeStamp, open, high, low, close, volume, closeTime, closeTimeStamp, quoteAssetVolume, numberOfTrades, takerBuyBase, takerBuyQuote, IGNORE
1643673600000,2022 02 01 01:00:00,3.488,3.769,3.474,3.74,5710100.0,1643759999999,2022 02 02 00:59:59,2.0468972E7,66700,2884668.5,1.0351709E7,0.0
1643760000000,2022 02 02 01:00:00,3.739,3.9,3.57,3.751,1.1277713E7,1643846399999,2022 02 03 00:59:59,4.24472E7,129595,5441473.0,2.0482378E7,0.0
1643846400000,2022 02 03 01:00:00,3.754,3.972,3.607,3.838,1.1357952E7,1643932799999,2022 02 04 00:59:59,4.3548228E7,121274,5732244.0,2.1989574E7,0.0
1643932800000,2022 02 04 01:00:00,3.835,4.032,3.673,4.011,7506024.5,1644019199999,2022 02 05 00:59:59,2.8954436E7,92425,3781578.2,1.4591989E7,0.0
1644019200000,2022 02 05 01:00:00,4.009,4.08,3.856,3.933,5256336.5,1644105599999,2022 02 06 00:59:59,2.0890496E7,70240,2647690.5,1.0525821E7,0.0
1644105600000,2022 02 06 01:00:00,3.934,3.999,3.768,3.922,4378283.5,1644191999999,2022 02 07 00:59:59,1.6986772E7,53768,2089390.8,8106104.0,0.0
1644192000000,2022 02 07 01:00:00,3.924,4.194,3.835,4.144,5489045.0,1644278399999,2022 02 08 00:59:59,2.2084444E7,78609,2790840.0,1.1230137E7,0.0
1644278400000,2022 02 08 01:00:00,4.144,4.46,4.003,4.394,1.181117E7,1644364799999,2022 02 09 00:59:59,5.0249148E7,175873,5922394.5,2.5206898E7,0.0
1644364800000,2022 02 09 01:00:00,4.396,4.606,4.322,4.441,8846617.0,1644451199999,2022 02 10 00:59:59,3.9654944E7,122681,4604346.0,2.0639372E7,0.0
1644451200000,2022 02 10 01:00:00,4.438,4.58,4.184,4.223,8066536.0,1644537599999,2022 02 11 00:59:59,3.5405E7,113887,4140190.0,1.8156724E7,0.0
