openTime, openTimeStamp, open, high, low, close, volume, closeTime, closeTimeStamp, quoteAssetVolume, numberOfTrades, takerBuyBase, takerBuyQuote, IGNORE
1642694400000,2022 01 20 17:00:00,1.403,1.427,1.398,1.407,2.038793E7,1642698000000,2022 01 20 18:00:00,0.0,0,0.0,0.0,0.0
1642698000000,2022 01 20 18:00:00,1.406,1.415,1.393,1.406,1.0681928E7,1642701600000,2022 01 20 19:00:00,0.0,0,0.0,0.0,0.0
1642701600000,2022 01 20 19:00:00,1.406,1.408,1.377,1.38,9047093.0,1642705200000,2022 01 20 20:00:00,0.0,0,0.0,0.0,0.0
1642705200000,2022 01 20 20:00:00,1.381,1.396,1.379,1.384,7117385.5,1642708800000,2022 01 20 21:00:00,0.0,0,0.0,0.0,0.0
1642708800000,2022 01 20 21:00:00,1.385,1.403,1.379,1.387,7026630.0,1642712400000,2022 01 20 22:00:00,0.0,0,0.0,0.0,0.0
1642712400000,2022 01 20 22:00:00,1.387,1.392,1.356,1.364,9644825.0,1642716000000,2022 01 20 23:00:00,0.0,0,0.0,0.0,0.0
1642716000000,2022 01 20 23:00:00,1.364,1.366,1.284,1.285,2.5504528E7,1642719600000,2022 01 21 00:00:00,0.0,0,0.0,0.0,0.0
1642719600000,2022 01 21 00:00:00,1.286,1.307,1.258,1.286,2.7339262E7,1642723200000,2022 01 21 01:00:00,0.0,0,0.0,0.0,0.0
1642723200000,2022 01 21 01:00:00,1.285,1.287,1.251,1.259,1.4972195E7,1642726800000,2022 01 21 02:00:00,0.0,0,0.0,0.0,0.0
1642726800000,2022 01 21 02:00:00,1.259,1.282,1.243,1.27,2.1324338E7,1642730400000,2022 01 21 03:00:00,0.0,0,0.0,0.0,0.0
1642730400000,2022 01 21 03:00:00,1.269,1.273,1.212,1.214,2.1092368E7,1642734000000,2022 01 21 04:00:00,0.0,0,0.0,0.0,0.0
1642734000000,2022 01 21 04:00:00,1.215,1.255,1.211,1.238,2.2240222E7,1642737600000,2022 01 21 05:00:00,0.0,0,0.0,0.0,0.0
