openTime, openTimeStamp, open, high, low, close, volume, closeTime, closeTimeStamp, quoteAssetVolume, numberOfTrades, takerBuyBase, takerBuyQuote, IGNORE
1642694400000,2022 01 20 17:00:00,42969.67,43456.0,42936.91,43308.69,4058.1675,1642698000000,2022 01 20 18:00:00,0.0,0,0.0,0.0,0.0
1642698000000,2022 01 20 18:00:00,43308.7,43505.0,43144.84,43274.78,2473.7236,1642701600000,2022 01 20 19:00:00,0.0,0,0.0,0.0,0.0
1642701600000,2022 01 20 19:00:00,43274.77,43307.48,42985.54,43025.85,1396.991,1642705200000,2022 01 20 20:00:00,0.0,0,0.0,0.0,0.0
1642705200000,2022 01 20 20:00:00,43025.85,43090.04,42805.0,42834.19,1259.6865,1642708800000,2022 01 20 21:00:00,0.0,0,0.0,0.0,0.0
1642708800000,2022 01 20 21:00:00,42834.19,43241.38,42808.55,42917.32,1365.1741,1642712400000,2022 01 20 22:00:00,0.0,0,0.0,0.0,0.0
1642712400000,2022 01 20 22:00:00,42917.31,42996.64,42571.22,42723.71,1482.9696,1642716000000,2022 01 20 23:00:00,0.0,0,0.0,0.0,0.0
1642716000000,2022 01 20 23:00:00,42723.72,42730.9,41309.0,41326.04,4756.0034,1642719600000,2022 01 21 00:00:00,0.0,0,0.0,0.0,0.0
1642719600000,2022 01 21 00:00:00,41326.04,41543.47,40860.0,41167.25,4147.2026,1642723200000,2022 01 21 01:00:00,0.0,0,0.0,0.0,0.0
1642723200000,2022 01 21 01:00:00,41164.57,41176.93,40553.31,40680.91,4583.546,1642726800000,2022 01 21 02:00:00,0.0,0,0.0,0.0,0.0
1642726800000,2022 01 21 02:00:00,40680.92,41100.0,40404.0,40894.8,3247.3462,1642730400000,2022 01 21 03:00:00,0.0,0,0.0,0.0,0.0
1642730400000,2022 01 21 03:00:00,40894.81,40929.76,39730.0,39762.99,4172.352,1642734000000,2022 01 21 04:00:00,0.0,0,0.0,0.0,0.0
1642734000000,2022 01 21 04:00:00,39763.0,40280.0,39267.86,39830.52,4354.458,1642737600000,2022 01 21 05:00:00,0.0,0,0.0,0.0,0.0
1642737600000,2022 01 21 05:00:00,39835.99,39944.45,38220.0,38465.65,9508.823,1642741200000,2022 01 21 06:00:00,0.0,0,0.0,0.0,0.0
1642741200000,2022 01 21 06:00:00,38465.65,39070.0,38437.15,38842.03,3091.4207,1642744800000,2022 01 21 07:00:00,0.0,0,0.0,0.0,0.0
1642744800000,2022 01 21 07:00:00,38842.03,38998.0,38700.19,38909.01,2658.6597,1642748400000,2022 01 21 08:00:00,0.0,0,0.0,0.0,0.0
1642748400000,2022 01 21 08:00:00,38909.01,38936.66,38536.87,38679.8,2090.9968,1642752000000,2022 01 21 09:00:00,0.0,0,0.0,0.0,0.0
1642752000000,2022 01 21 09:00:00,38680.01,39177.2,38465.67,39134.55,2102.9658,1642755600000,2022 01 21 10:00:00,0.0,0,0.0,0.0,0.0
1642755600000,2022 01 21 10:00:00,39136.31,39297.55,39006.71,39157.63,1916.8386,1642759200000,2022 01 21 11:00:00,0.0,0,0.0,0.0,0.0
1642759200000,2022 01 21 11:00:00,39157.63,39189.63,38915.25,38959.77,1560.933,1642762800000,2022 01 21 12:00:00,0.0,0,0.0,0.0,0.0
1642762800000,2022 01 21 12:00:00,38959.77,39320.0,38848.35,38965.92,1604.7458,1642766400000,2022 01 21 13:00:00,0.0,0,0.0,0.0,0.0
1642766400000,2022 01 21 13:00:00,38965.92,38979.2,38668.19,38898.18,1616.6156,1642770000000,2022 01 21 14:00:00,0.0,0,0.0,0.0,0.0
1642770000000,2022 01 21 14:00:00,38898.19,38933.04,37710.0,38186.16,5714.998,1642773600000,2022 01 21 15:00:00,0.0,0,0.0,0.0,0.0
1642773600000,2022 01 21 15:00:00,38186.16,38751.6,38150.03,38491.01,3898.636,1642777200000,2022 01 21 16:00:00,0.0,0,0.0,0.0,0.0
1642777200000,2022 01 21 16:00:00,38491.01,38934.29,38253.48,38429.11,3134.162,1642780800000,2022 01 21 17:00:00,0.0,0,0.0,0.0,0.0
1642780800000,2022 01 21 17:00:00,38429.12,39042.4,38103.13,38857.26,3629.4353,1642784400000,2022 01 21 18:00:00,0.0,0,0.0,0.0,0.0
1642784400000,2022 01 21 18:00:00,38857.24,39071.13,38514.0,38720.72,2224.013,1642788000000,2022 01 21 19:00:00,0.0,0,0.0,0.0,0.0
1642788000000,2022 01 21 19:00:00,38720.72,38752.7,38284.84,38382.5,1904.8259,1642791600000,2022 01 21 20:00:00,0.0,0,0.0,0.0,0.0
1642791600000,2022 01 21 20:00:00,38383.49,38644.02,37850.0,38265.12,2652.0984,1642795200000,2022 01 21 21:00:00,0.0,0,0.0,0.0,0.0
1642795200000,2022 01 21 21:00:00,38268.42,38500.0,37946.0,37984.12,1421.7725,1642798800000,2022 01 21 22:00:00,0.0,0,0.0,0.0,0.0
1642798800000,2022 01 21 22:00:00,37984.11,38470.0,37601.0,38355.16,4168.146,1642802400000,2022 01 21 23:00:00,0.0,0,0.0,0.0,0.0
1642802400000,2022 01 21 23:00:00,38350.62,38464.36,36158.0,36682.23,9838.084,1642806000000,2022 01 22 00:00:00,0.0,0,0.0,0.0,0.0
1642806000000,2022 01 22 00:00:00,36682.23,37201.16,35440.45,36117.6,7369.871,1642809600000,2022 01 22 01:00:00,0.0,0,0.0,0.0,0.0
1642809600000,2022 01 22 01:00:00,36123.85,36890.0,35780.66,36445.31,4978.694,1642813200000,2022 01 22 02:00:00,0.0,0,0.0,0.0,0.0
1642813200000,2022 01 22 02:00:00,36445.31,36835.22,36136.66,36487.96,2851.7822,1642816800000,2022 01 22 03:00:00,0.0,0,0.0,0.0,0.0
1642816800000,2022 01 22 03:00:00,36487.96,36619.71,36032.02,36483.15,3329.2034,1642820400000,2022 01 22 04:00:00,0.0,0,0.0,0.0,0.0
1642820400000,2022 01 22 04:00:00,36483.15,36549.91,36263.0,36467.23,2152.678,1642824000000,2022 01 22 05:00:00,0.0,0,0.0,0.0,0.0
