openTime, openTimeStamp, open, high, low, close, volume, closeTime, closeTimeStamp, quoteAssetVolume, numberOfTrades, takerBuyBase, takerBuyQuote, IGNORE
1612915200000,2021 02 10 01:00:00,0.67674,0.71206,0.6624,0.70562,5.904823E8,1612918800000,2021 02 10 02:00:00,0.0,0,0.0,0.0,0.0
1613001600000,2021 02 11 01:00:00,0.70562,0.95306,0.70555,0.93966,1.69321997E9,1613005200000,2021 02 11 02:00:00,0.0,0,0.0,0.0,0.0
1613088000000,2021 02 12 01:00:00,0.94041,0.98,0.86513,0.92796,9.7510035E8,1613091600000,2021 02 12 02:00:00,0.0,0,0.0,0.0,0.0
1613174400000,2021 02 13 01:00:00,0.9281,0.94825,0.866,0.92426,6.4954778E8,1613178000000,2021 02 13 02:00:00,0.0,0,0.0,0.0,0.0
1613260800000,2021 02 14 01:00:00,0.92418,0.95053,0.82,0.91299,5.8687859E8,1613264400000,2021 02 14 02:00:00,0.0,0,0.0,0.0,0.0
1613347200000,2021 02 15 01:00:00,0.91303,0.919,0.80666,0.84364,5.3949504E8,1613350800000,2021 02 15 02:00:00,0.0,0,0.0,0.0,0.0
1613433600000,2021 02 16 01:00:00,0.84288,0.911,0.6856,0.86143,9.3282656E8,1613437200000,2021 02 16 02:00:00,0.0,0,0.0,0.0,0.0
1613520000000,2021 02 17 01:00:00,0.86128,0.90591,0.83334,0.87,5.26075392E8,1613523600000,2021 02 17 02:00:00,0.0,0,0.0,0.0,0.0
1613606400000,2021 02 18 01:00:00,0.8699,0.89745,0.8215,0.89206,4.6032864E8,1613610000000,2021 02 18 02:00:00,0.0,0,0.0,0.0,0.0
1613692800000,2021 02 19 01:00:00,0.89206,0.9578,0.89202,0.91442,5.8007398E8,1613696400000,2021 02 19 02:00:00,0.0,0,0.0,0.0,0.0
1613779200000,2021 02 20 01:00:00,0.91433,0.9456,0.87851,0.92581,5.4780371E8,1613782800000,2021 02 20 02:00:00,0.0,0,0.0,0.0,0.0
1613865600000,2021 02 21 01:00:00,0.92597,1.2,0.91329,1.11568,1.48054195E9,1613869200000,2021 02 21 02:00:00,0.0,0,0.0,0.0,0.0
1613952000000,2021 02 22 01:00:00,1.1156,1.15172,1.0675,1.09894,6.3626579E8,1613955600000,2021 02 22 02:00:00,0.0,0,0.0,0.0,0.0
1614038400000,2021 02 23 01:00:00,1.09955,1.146,0.831,1.09703,1.33397018E9,1614042000000,2021 02 23 02:00:00,0.0,0,0.0,0.0,0.0
1614124800000,2021 02 24 01:00:00,1.09728,1.142,0.81,0.96197,1.62522048E9,1614128400000,2021 02 24 02:00:00,0.0,0,0.0,0.0,0.0
1614211200000,2021 02 25 01:00:00,0.96136,1.077,0.8978,1.04902,9.4604909E8,1614214800000,2021 02 25 02:00:00,0.0,0,0.0,0.0,0.0
1614297600000,2021 02 26 01:00:00,1.04883,1.177,1.012,1.07691,9.6185581E8,1614301200000,2021 02 26 02:00:00,0.0,0,0.0,0.0,0.0
1614384000000,2021 02 27 01:00:00,1.07688,1.298,0.99,1.24303,1.80572774E9,1614387600000,2021 02 27 02:00:00,0.0,0,0.0,0.0,0.0
1614470400000,2021 02 28 01:00:00,1.24353,1.488,1.2271,1.31402,1.99435968E9,1614474000000,2021 02 28 02:00:00,0.0,0,0.0,0.0,0.0
1614556800000,2021 03 01 01:00:00,1.314,1.3595,1.154,1.31203,1.59917235E9,1614560400000,2021 03 01 02:00:00,0.0,0,0.0,0.0,0.0
1614643200000,2021 03 02 01:00:00,1.31279,1.348,1.23131,1.29627,9.840119E8,1614646800000,2021 03 02 02:00:00,0.0,0,0.0,0.0,0.0
1614729600000,2021 03 03 01:00:00,1.29678,1.29998,1.18,1.2228,7.5390451E8,1614733200000,2021 03 03 02:00:00,0.0,0,0.0,0.0,0.0
1614816000000,2021 03 04 01:00:00,1.22281,1.26636,1.20865,1.21311,4.5491344E8,1614819600000,2021 03 04 02:00:00,0.0,0,0.0,0.0,0.0
1614902400000,2021 03 05 01:00:00,1.21315,1.23052,1.06695,1.11239,7.4803501E8,1614906000000,2021 03 05 02:00:00,0.0,0,0.0,0.0,0.0
