openTime, openTimeStamp, open, high, low, close, volume, closeTime, closeTimeStamp, quoteAssetVolume, numberOfTrades, takerBuyBase, takerBuyQuote, IGNORE
1642701600000,2022 01 20 19:00:00,0.1663,0.1666,0.1652,0.1655,2.7702748E7,1642705200000,2022 01 20 20:00:00,0.0,0,0.0,0.0,0.0
1642705200000,2022 01 20 20:00:00,0.1654,0.1659,0.1644,0.1645,2.9938708E7,1642708800000,2022 01 20 21:00:00,0.0,0,0.0,0.0,0.0
1642708800000,2022 01 20 21:00:00,0.1646,0.1665,0.1643,0.1653,2.991896E7,1642712400000,2022 01 20 22:00:00,0.0,0,0.0,0.0,0.0
1642712400000,2022 01 20 22:00:00,0.1654,0.1655,0.1634,0.1641,3.1948752E7,1642716000000,2022 01 20 23:00:00,0.0,0,0.0,0.0,0.0
1642716000000,2022 01 20 23:00:00,0.1641,0.1641,0.1558,0.1559,1.26983464E8,1642719600000,2022 01 21 00:00:00,0.0,0,0.0,0.0,0.0
1642719600000,2022 01 21 00:00:00,0.1558,0.1595,0.1536,0.158,1.2242324E8,1642723200000,2022 01 21 01:00:00,0.0,0,0.0,0.0,0.0
1642723200000,2022 01 21 01:00:00,0.158,0.1584,0.1541,0.1553,5.7415216E7,1642726800000,2022 01 21 02:00:00,0.0,0,0.0,0.0,0.0
1642726800000,2022 01 21 02:00:00,0.1553,0.1576,0.1533,0.1563,5.1353832E7,1642730400000,2022 01 21 03:00:00,0.0,0,0.0,0.0,0.0
1642730400000,2022 01 21 03:00:00,0.1562,0.1564,0.15,0.1506,8.4183584E7,1642734000000,2022 01 21 04:00:00,0.0,0,0.0,0.0,0.0
1642734000000,2022 01 21 04:00:00,0.1507,0.1543,0.15,0.1528,7.9425296E7,1642737600000,2022 01 21 05:00:00,0.0,0,0.0,0.0,0.0
1642737600000,2022 01 21 05:00:00,0.1528,0.1532,0.1484,0.1498,1.15811016E8,1642741200000,2022 01 21 06:00:00,0.0,0,0.0,0.0,0.0
1642741200000,2022 01 21 06:00:00,0.1498,0.1519,0.1497,0.1514,3.7677952E7,1642744800000,2022 01 21 07:00:00,0.0,0,0.0,0.0,0.0
1642744800000,2022 01 21 07:00:00,0.1514,0.1528,0.1507,0.1525,2.5778992E7,1642748400000,2022 01 21 08:00:00,0.0,0,0.0,0.0,0.0
1642748400000,2022 01 21 08:00:00,0.1525,0.1527,0.1512,0.1515,2.4850148E7,1642752000000,2022 01 21 09:00:00,0.0,0,0.0,0.0,0.0
1642752000000,2022 01 21 09:00:00,0.1515,0.1536,0.1508,0.1533,2.144309E7,1642755600000,2022 01 21 10:00:00,0.0,0,0.0,0.0,0.0
1642755600000,2022 01 21 10:00:00,0.1532,0.1537,0.1524,0.1534,3.7735852E7,1642759200000,2022 01 21 11:00:00,0.0,0,0.0,0.0,0.0
1642759200000,2022 01 21 11:00:00,0.1533,0.1548,0.152,0.1533,3.502418E7,1642762800000,2022 01 21 12:00:00,0.0,0,0.0,0.0,0.0
1642762800000,2022 01 21 12:00:00,0.1533,0.1544,0.1531,0.154,1.8489528E7,1642766400000,2022 01 21 13:00:00,0.0,0,0.0,0.0,0.0
1642766400000,2022 01 21 13:00:00,0.1539,0.1543,0.1528,0.1536,2.6643188E7,1642770000000,2022 01 21 14:00:00,0.0,0,0.0,0.0,0.0
1642770000000,2022 01 21 14:00:00,0.1535,0.1538,0.147,0.15,1.38901888E8,1642773600000,2022 01 21 15:00:00,0.0,0,0.0,0.0,0.0
1642773600000,2022 01 21 15:00:00,0.1501,0.1529,0.15,0.1518,5.147038E7,1642777200000,2022 01 21 16:00:00,0.0,0,0.0,0.0,0.0
1642777200000,2022 01 21 16:00:00,0.1518,0.1534,0.1503,0.1507,4.3224612E7,1642780800000,2022 01 21 17:00:00,0.0,0,0.0,0.0,0.0
1642780800000,2022 01 21 17:00:00,0.1507,0.154,0.1493,0.153,7.2805088E7,1642784400000,2022 01 21 18:00:00,0.0,0,0.0,0.0,0.0
1642784400000,2022 01 21 18:00:00,0.1531,0.1536,0.1507,0.1519,4.5809496E7,1642788000000,2022 01 21 19:00:00,0.0,0,0.0,0.0,0.0
1642788000000,2022 01 21 19:00:00,0.1519,0.1524,0.1508,0.1512,2.6732802E7,1642791600000,2022 01 21 20:00:00,0.0,0,0.0,0.0,0.0
1642791600000,2022 01 21 20:00:00,0.1513,0.1529,0.1497,0.1517,5.0421336E7,1642795200000,2022 01 21 21:00:00,0.0,0,0.0,0.0,0.0
1642795200000,2022 01 21 21:00:00,0.1517,0.1523,0.1495,0.1497,2.9656956E7,1642798800000,2022 01 21 22:00:00,0.0,0,0.0,0.0,0.0
1642798800000,2022 01 21 22:00:00,0.1497,0.1508,0.1466,0.1501,8.6538712E7,1642802400000,2022 01 21 23:00:00,0.0,0,0.0,0.0,0.0
1642802400000,2022 01 21 23:00:00,0.1502,0.1518,0.1401,0.1439,2.07764096E8,1642806000000,2022 01 22 00:00:00,0.0,0,0.0,0.0,0.0
1642806000000,2022 01 22 00:00:00,0.1439,0.1467,0.14,0.1431,1.03565664E8,1642809600000,2022 01 22 01:00:00,0.0,0,0.0,0.0,0.0
1642809600000,2022 01 22 01:00:00,0.1431,0.1449,0.1399,0.1419,8.8550384E7,1642813200000,2022 01 22 02:00:00,0.0,0,0.0,0.0,0.0
1642813200000,2022 01 22 02:00:00,0.142,0.1453,0.1415,0.1435,7.1778408E7,1642816800000,2022 01 22 03:00:00,0.0,0,0.0,0.0,0.0
1642816800000,2022 01 22 03:00:00,0.1435,0.1446,0.142,0.1441,4.4199452E7,1642820400000,2022 01 22 04:00:00,0.0,0,0.0,0.0,0.0
1642820400000,2022 01 22 04:00:00,0.1442,0.1443,0.1428,0.1439,4.108264E7,1642824000000,2022 01 22 05:00:00,0.0,0,0.0,0.0,0.0
1642824000000,2022 01 22 05:00:00,0.1439,0.1449,0.141,0.1424,5.2704992E7,1642827600000,2022 01 22 06:00:00,0.0,0,0.0,0.0,0.0
1642827600000,2022 01 22 06:00:00,0.1423,0.1437,0.1417,0.1433,2.9407508E7,1642831200000,2022 01 22 07:00:00,0.0,0,0.0,0.0,0.0
