openTime, openTimeStamp, open, high, low, close, volume, closeTime, closeTimeStamp, quoteAssetVolume, numberOfTrades, takerBuyBase, takerBuyQuote, IGNORE
1620691200000,2021 05 11 02:00:00,1.412E-5,5.0E-5,1.412E-5,3.466E-5,9.5302313E13,1620694800000,2021 05 11 03:00:00,0.0,0,0.0,0.0,0.0
1620777600000,2021 05 12 02:00:00,3.468E-5,3.799E-5,2.78E-5,3.042E-5,6.4512787E13,1620781200000,2021 05 12 03:00:00,0.0,0,0.0,0.0,0.0
1620864000000,2021 05 13 02:00:00,3.04E-5,3.15E-5,1.752E-5,1.821E-5,8.6909141E13,1620867600000,2021 05 13 03:00:00,0.0,0,0.0,0.0,0.0
1620950400000,2021 05 14 02:00:00,1.817E-5,2.357E-5,1.53E-5,2.102E-5,9.1254885E13,1620954000000,2021 05 14 03:00:00,0.0,0,0.0,0.0,0.0
1621036800000,2021 05 15 02:00:00,2.103E-5,2.224E-5,1.816E-5,1.84E-5,4.0927855E13,1621040400000,2021 05 15 03:00:00,0.0,0,0.0,0.0,0.0
1621123200000,2021 05 16 02:00:00,1.841E-5,1.897E-5,1.501E-5,1.553E-5,4.3727276E13,1621126800000,2021 05 16 03:00:00,0.0,0,0.0,0.0,0.0
1621209600000,2021 05 17 02:00:00,1.552E-5,1.962E-5,1.237E-5,1.784E-5,6.1634752E13,1621213200000,2021 05 17 03:00:00,0.0,0,0.0,0.0,0.0
1621296000000,2021 05 18 02:00:00,1.783E-5,1.808E-5,1.408E-5,1.651E-5,6.0156822E13,1621299600000,2021 05 18 03:00:00,0.0,0,0.0,0.0,0.0
1621382400000,2021 05 19 02:00:00,1.65E-5,1.8E-5,1.517E-5,1.56E-5,2.79766117E13,1621386000000,2021 05 19 03:00:00,0.0,0,0.0,0.0,0.0
1621468800000,2021 05 20 02:00:00,1.562E-5,1.58E-5,6.3E-6,9.07E-6,9.0539303E13,1621472400000,2021 05 20 03:00:00,0.0,0,0.0,0.0,0.0
1621555200000,2021 05 21 02:00:00,9.07E-6,1.219E-5,8.0E-6,9.64E-6,6.7205966E13,1621558800000,2021 05 21 03:00:00,0.0,0,0.0,0.0,0.0
1621641600000,2021 05 22 02:00:00,9.64E-6,1.035E-5,6.55E-6,8.2E-6,5.4603903E13,1621645200000,2021 05 22 03:00:00,0.0,0,0.0,0.0,0.0
1621728000000,2021 05 23 02:00:00,8.21E-6,9.83E-6,6.72E-6,8.42E-6,4.6318181E13,1621731600000,2021 05 23 03:00:00,0.0,0,0.0,0.0,0.0
1621814400000,2021 05 24 02:00:00,8.42E-6,9.65E-6,6.94E-6,8.09E-6,6.0549132E13,1621818000000,2021 05 24 03:00:00,0.0,0,0.0,0.0,0.0
1621900800000,2021 05 25 02:00:00,8.08E-6,1.208E-5,7.73E-6,1.065E-5,6.6920838E13,1621904400000,2021 05 25 03:00:00,0.0,0,0.0,0.0,0.0
1621987200000,2021 05 26 02:00:00,1.065E-5,1.115E-5,8.76E-6,9.39E-6,4.3096088E13,1621990800000,2021 05 26 03:00:00,0.0,0,0.0,0.0,0.0
1622073600000,2021 05 27 02:00:00,9.38E-6,1.05E-5,9.14E-6,9.49E-6,2.98801105E13,1622077200000,2021 05 27 03:00:00,0.0,0,0.0,0.0,0.0
1622160000000,2021 05 28 02:00:00,9.49E-6,9.5E-6,8.5E-6,8.79E-6,2.13778075E13,1622163600000,2021 05 28 03:00:00,0.0,0,0.0,0.0,0.0
1622246400000,2021 05 29 02:00:00,8.79E-6,8.85E-6,7.5E-6,7.9E-6,2.29696738E13,1622250000000,2021 05 29 03:00:00,0.0,0,0.0,0.0,0.0
1622332800000,2021 05 30 02:00:00,7.91E-6,8.21E-6,7.3E-6,7.89E-6,1.54734281E13,1622336400000,2021 05 30 03:00:00,0.0,0,0.0,0.0,0.0
1622419200000,2021 05 31 02:00:00,7.9E-6,8.13E-6,7.52E-6,7.86E-6,1.28476177E13,1622422800000,2021 05 31 03:00:00,0.0,0,0.0,0.0,0.0
1622505600000,2021 06 01 02:00:00,7.85E-6,9.98E-6,7.69E-6,9.28E-6,2.90087963E13,1622509200000,2021 06 01 03:00:00,0.0,0,0.0,0.0,0.0
1622592000000,2021 06 02 02:00:00,9.28E-6,9.43E-6,8.28E-6,8.82E-6,2.3622771E13,1622595600000,2021 06 02 03:00:00,0.0,0,0.0,0.0,0.0
1622678400000,2021 06 03 02:00:00,8.83E-6,1.049E-5,8.57E-6,9.44E-6,3.7410147E13,1622682000000,2021 06 03 03:00:00,0.0,0,0.0,0.0,0.0
1622764800000,2021 06 04 02:00:00,9.43E-6,1.04E-5,9.29E-6,9.82E-6,2.53100472E13,1622768400000,2021 06 04 03:00:00,0.0,0,0.0,0.0,0.0
1622851200000,2021 06 05 02:00:00,9.81E-6,9.84E-6,8.28E-6,8.79E-6,2.75867322E13,1622854800000,2021 06 05 03:00:00,0.0,0,0.0,0.0,0.0
1622937600000,2021 06 06 02:00:00,8.8E-6,9.12E-6,8.1E-6,8.42E-6,1.51387311E13,1622941200000,2021 06 06 03:00:00,0.0,0,0.0,0.0,0.0
1623024000000,2021 06 07 02:00:00,8.42E-6,8.63E-6,8.33E-6,8.53E-6,8.7188523E12,1623027600000,2021 06 07 03:00:00,0.0,0,0.0,0.0,0.0
1623110400000,2021 06 08 02:00:00,8.52E-6,8.72E-6,7.5E-6,7.74E-6,1.43174905E13,1623114000000,2021 06 08 03:00:00,0.0,0,0.0,0.0,0.0
1623196800000,2021 06 09 02:00:00,7.74E-6,7.87E-6,6.3E-6,7.15E-6,3.24078351E13,1623200400000,2021 06 09 03:00:00,0.0,0,0.0,0.0,0.0
1623283200000,2021 06 10 02:00:00,7.16E-6,7.6E-6,6.83E-6,7.38E-6,2.13332787E13,1623286800000,2021 06 10 03:00:00,0.0,0,0.0,0.0,0.0
1623369600000,2021 06 11 02:00:00,7.39E-6,7.43E-6,6.78E-6,6.84E-6,1.59827456E13,1623373200000,2021 06 11 03:00:00,0.0,0,0.0,0.0,0.0
1623456000000,2021 06 12 02:00:00,6.84E-6,6.9E-6,6.01E-6,6.21E-6,1.66545683E13,1623459600000,2021 06 12 03:00:00,0.0,0,0.0,0.0,0.0
1623542400000,2021 06 13 02:00:00,6.21E-6,6.55E-6,5.51E-6,6.28E-6,2.81862598E13,1623546000000,2021 06 13 03:00:00,0.0,0,0.0,0.0,0.0
1623628800000,2021 06 14 02:00:00,6.27E-6,7.15E-6,6.05E-6,6.85E-6,2.07635769E13,1623632400000,2021 06 14 03:00:00,0.0,0,0.0,0.0,0.0
1623715200000,2021 06 15 02:00:00,6.84E-6,7.21E-6,6.67E-6,7.09E-6,1.72409781E13,1623718800000,2021 06 15 03:00:00,0.0,0,0.0,0.0,0.0
1623801600000,2021 06 16 02:00:00,7.08E-6,9.88E-6,6.93E-6,9.03E-6,5.5757152E13,1623805200000,2021 06 16 03:00:00,0.0,0,0.0,0.0,0.0
1623888000000,2021 06 17 02:00:00,9.02E-6,9.29E-6,8.14E-6,8.31E-6,4.6228331E13,1623891600000,2021 06 17 03:00:00,0.0,0,0.0,0.0,0.0
1623974400000,2021 06 18 02:00:00,8.32E-6,8.5E-6,7.72E-6,7.95E-6,2.76049523E13,1623978000000,2021 06 18 03:00:00,0.0,0,0.0,0.0,0.0
1624060800000,2021 06 19 02:00:00,7.95E-6,7.98E-6,7.0E-6,7.26E-6,2.35944762E13,1624064400000,2021 06 19 03:00:00,0.0,0,0.0,0.0,0.0
1624147200000,2021 06 20 02:00:00,7.26E-6,8.49E-6,7.19E-6,7.62E-6,3.35124491E13,1624150800000,2021 06 20 03:00:00,0.0,0,0.0,0.0,0.0
1624233600000,2021 06 21 02:00:00,7.63E-6,8.07E-6,7.11E-6,7.78E-6,2.52039502E13,1624237200000,2021 06 21 03:00:00,0.0,0,0.0,0.0,0.0
1624320000000,2021 06 22 02:00:00,7.78E-6,7.84E-6,6.08E-6,6.19E-6,3.47549676E13,1624323600000,2021 06 22 03:00:00,0.0,0,0.0,0.0,0.0
1624406400000,2021 06 23 02:00:00,6.19E-6,7.0E-6,5.59E-6,6.33E-6,4.1222043E13,1624410000000,2021 06 23 03:00:00,0.0,0,0.0,0.0,0.0
1624492800000,2021 06 24 02:00:00,6.33E-6,7.11E-6,6.09E-6,6.84E-6,2.2097655E13,1624496400000,2021 06 24 03:00:00,0.0,0,0.0,0.0,0.0
1624579200000,2021 06 25 02:00:00,6.83E-6,7.45E-6,6.56E-6,7.21E-6,1.45890822E13,1624582800000,2021 06 25 03:00:00,0.0,0,0.0,0.0,0.0
1624665600000,2021 06 26 02:00:00,7.21E-6,8.5E-6,6.72E-6,7.07E-6,4.1620959E13,1624669200000,2021 06 26 03:00:00,0.0,0,0.0,0.0,0.0
1624752000000,2021 06 27 02:00:00,7.06E-6,7.55E-6,6.9E-6,7.48E-6,2.1860033E13,1624755600000,2021 06 27 03:00:00,0.0,0,0.0,0.0,0.0
1624838400000,2021 06 28 02:00:00,7.47E-6,7.89E-6,7.27E-6,7.85E-6,1.19250155E13,1624842000000,2021 06 28 03:00:00,0.0,0,0.0,0.0,0.0
1624924800000,2021 06 29 02:00:00,7.85E-6,8.21E-6,7.58E-6,8.08E-6,1.85060074E13,1624928400000,2021 06 29 03:00:00,0.0,0,0.0,0.0,0.0
1625011200000,2021 06 30 02:00:00,8.08E-6,9.63E-6,8.03E-6,8.87E-6,4.6042196E13,1625014800000,2021 06 30 03:00:00,0.0,0,0.0,0.0,0.0
1625097600000,2021 07 01 02:00:00,8.87E-6,9.23E-6,8.01E-6,8.82E-6,3.24593139E13,1625101200000,2021 07 01 03:00:00,0.0,0,0.0,0.0,0.0
1625184000000,2021 07 02 02:00:00,8.82E-6,8.83E-6,8.15E-6,8.32E-6,1.59900259E13,1625187600000,2021 07 02 03:00:00,0.0,0,0.0,0.0,0.0
1625270400000,2021 07 03 02:00:00,8.33E-6,8.44E-6,8.05E-6,8.35E-6,9.6093392E12,1625274000000,2021 07 03 03:00:00,0.0,0,0.0,0.0,0.0
1625356800000,2021 07 04 02:00:00,8.36E-6,8.8E-6,8.3E-6,8.66E-6,1.10001788E13,1625360400000,2021 07 04 03:00:00,0.0,0,0.0,0.0,0.0
1625443200000,2021 07 05 02:00:00,8.66E-6,8.95E-6,8.45E-6,8.73E-6,1.00157484E13,1625446800000,2021 07 05 03:00:00,0.0,0,0.0,0.0,0.0
1625529600000,2021 07 06 02:00:00,8.72E-6,8.73E-6,8.16E-6,8.34E-6,1.20680559E13,1625533200000,2021 07 06 03:00:00,0.0,0,0.0,0.0,0.0
1625616000000,2021 07 07 02:00:00,8.33E-6,9.33E-6,8.31E-6,8.74E-6,2.47658195E13,1625619600000,2021 07 07 03:00:00,0.0,0,0.0,0.0,0.0
1625702400000,2021 07 08 02:00:00,8.74E-6,8.96E-6,8.52E-6,8.55E-6,1.07328852E13,1625706000000,2021 07 08 03:00:00,0.0,0,0.0,0.0,0.0
1625788800000,2021 07 09 02:00:00,8.54E-6,8.56E-6,7.78E-6,8.02E-6,1.46980932E13,1625792400000,2021 07 09 03:00:00,0.0,0,0.0,0.0,0.0
1625875200000,2021 07 10 02:00:00,8.03E-6,8.1E-6,7.7E-6,7.91E-6,8.9288574E12,1625878800000,2021 07 10 03:00:00,0.0,0,0.0,0.0,0.0
1625961600000,2021 07 11 02:00:00,7.92E-6,8.09E-6,7.52E-6,7.67E-6,7.1913098E12,1625965200000,2021 07 11 03:00:00,0.0,0,0.0,0.0,0.0
