openTime, openTimeStamp, open, high, low, close, volume, closeTime, closeTimeStamp, quoteAssetVolume, numberOfTrades, takerBuyBase, takerBuyQuote, IGNORE
1643310000000,2022 01 27 20:00:00,1.03403,1.04006,1.02077,1.02521,2210141.8,1643310003600,2022 01 27 20:00:03,2278958.8,0,0.0,0.0,0.0
1643313600000,2022 01 27 21:00:00,1.02539,1.03751,1.00507,1.00621,3389207.0,1643313603600,2022 01 27 21:00:03,3450195.5,0,0.0,0.0,0.0
1643317200000,2022 01 27 22:00:00,1.00699,1.03875,1.00622,1.03387,3584640.2,1643317203600,2022 01 27 22:00:03,3657489.0,0,0.0,0.0,0.0
1643320800000,2022 01 27 23:00:00,1.03403,1.05038,1.02447,1.03838,2293784.0,1643320803600,2022 01 27 23:00:03,2371507.5,0,0.0,0.0,0.0
1643324400000,2022 01 28 00:00:00,1.038,1.04613,1.03474,1.04221,1855388.4,1643324403600,2022 01 28 00:00:03,1929672.8,0,0.0,0.0,0.0
1643328000000,2022 01 28 01:00:00,1.04208,1.05899,1.03915,1.04817,2911899.2,1643328003600,2022 01 28 01:00:03,3050312.0,0,0.0,0.0,0.0
1643331600000,2022 01 28 02:00:00,1.04797,1.05431,1.02147,1.03417,2224580.8,1643331603600,2022 01 28 02:00:03,2307345.5,0,0.0,0.0,0.0
1643335200000,2022 01 28 03:00:00,1.03402,1.05118,1.02121,1.04593,1930384.1,1643335203600,2022 01 28 03:00:03,1999390.4,0,0.0,0.0,0.0
1643338800000,2022 01 28 04:00:00,1.04581,1.05879,1.04396,1.04883,1980642.2,1643338803600,2022 01 28 04:00:03,2080167.6,0,0.0,0.0,0.0
1643342400000,2022 01 28 05:00:00,1.04879,1.05199,1.03333,1.04147,1821141.6,1643342403600,2022 01 28 05:00:03,1899242.1,0,0.0,0.0,0.0
1643346000000,2022 01 28 06:00:00,1.0414,1.04929,1.03815,1.04426,1256886.6,1643346003600,2022 01 28 06:00:03,1311497.0,0,0.0,0.0,0.0
1643349600000,2022 01 28 07:00:00,1.0442,1.054,1.03348,1.03388,1636010.1,1643349603600,2022 01 28 07:00:03,1710088.8,0,0.0,0.0,0.0
