openTime, openTimeStamp, open, high, low, close, volume, closeTime, closeTimeStamp, quoteAssetVolume, numberOfTrades, takerBuyBase, takerBuyQuote, IGNORE
1643310000000,2022 01 27 20:00:00,0.140924,0.141338,0.138889,0.139966,3.1990588E7,1643310003600,2022 01 27 20:00:03,4476940.5,0,0.0,0.0,0.0
1643313600000,2022 01 27 21:00:00,0.139935,0.140769,0.137,0.137156,3.9393488E7,1643313603600,2022 01 27 21:00:03,5464670.0,0,0.0,0.0,0.0
1643317200000,2022 01 27 22:00:00,0.137162,0.138991,0.136198,0.138784,4.3058676E7,1643317203600,2022 01 27 22:00:03,5915400.5,0,0.0,0.0,0.0
1643320800000,2022 01 27 23:00:00,0.138731,0.140881,0.137832,0.139701,3.809848E7,1643320803600,2022 01 27 23:00:03,5295414.0,0,0.0,0.0,0.0
1643324400000,2022 01 28 00:00:00,0.139701,0.141552,0.139701,0.141456,1.9497718E7,1643324403600,2022 01 28 00:00:03,2741183.2,0,0.0,0.0,0.0
1643328000000,2022 01 28 01:00:00,0.141456,0.142643,0.14053,0.141568,2.4908922E7,1643328003600,2022 01 28 01:00:03,3522402.8,0,0.0,0.0,0.0
1643331600000,2022 01 28 02:00:00,0.141564,0.142164,0.139029,0.139921,1.7275708E7,1643331603600,2022 01 28 02:00:03,2426411.5,0,0.0,0.0,0.0
1643335200000,2022 01 28 03:00:00,0.13991,0.141047,0.138988,0.140918,1.6219668E7,1643335203600,2022 01 28 03:00:03,2270423.0,0,0.0,0.0,0.0
1643338800000,2022 01 28 04:00:00,0.140899,0.142297,0.140716,0.141059,2.2160268E7,1643338803600,2022 01 28 04:00:03,3133482.5,0,0.0,0.0,0.0
1643342400000,2022 01 28 05:00:00,0.141115,0.14165,0.140204,0.140961,1.6985256E7,1643342403600,2022 01 28 05:00:03,2392359.0,0,0.0,0.0,0.0
1643346000000,2022 01 28 06:00:00,0.140909,0.141609,0.140844,0.14134,1.2116529E7,1643346003600,2022 01 28 06:00:03,1711464.0,0,0.0,0.0,0.0
1643349600000,2022 01 28 07:00:00,0.141306,0.142332,0.140454,0.140461,1.8724178E7,1643349603600,2022 01 28 07:00:03,2649327.5,0,0.0,0.0,0.0
1643353200000,2022 01 28 08:00:00,0.140464,0.141249,0.139868,0.139976,1.619104E7,1643353203600,2022 01 28 08:00:03,2275054.0,0,0.0,0.0,0.0
