openTime, openTimeStamp, open, high, low, close, volume, closeTime, closeTimeStamp, quoteAssetVolume, numberOfTrades, takerBuyBase, takerBuyQuote, IGNORE
1644163200000,2022 02 06 17:00:00,2991.4,3005.31,2978.73,3001.79,2793.7483,1644163203600,2022 02 06 17:00:03,8362720.5,0,0.0,0.0,0.0
1644166800000,2022 02 06 18:00:00,3001.8,3009.5,2994.65,3002.04,1561.9679,1644166803600,2022 02 06 18:00:03,4691132.5,0,0.0,0.0,0.0
1644170400000,2022 02 06 19:00:00,3002.0,3005.14,2980.01,2985.39,1179.8552,1644170403600,2022 02 06 19:00:03,3530615.8,0,0.0,0.0,0.0
1644174000000,2022 02 06 20:00:00,2985.39,3002.74,2984.2,3001.17,621.0349,1644174003600,2022 02 06 20:00:03,1860272.1,0,0.0,0.0,0.0
1644177600000,2022 02 06 21:00:00,3001.07,3002.33,2975.68,2985.21,1009.5406,1644177603600,2022 02 06 21:00:03,3017129.5,0,0.0,0.0,0.0
1644181200000,2022 02 06 22:00:00,2985.21,3001.44,2980.61,2994.61,587.02155,1644181203600,2022 02 06 22:00:03,1757135.4,0,0.0,0.0,0.0
1644184800000,2022 02 06 23:00:00,2994.59,3000.98,2983.99,2988.8,734.0993,1644184803600,2022 02 06 23:00:03,2199606.5,0,0.0,0.0,0.0
1644188400000,2022 02 07 00:00:00,2988.66,3074.65,2983.06,3055.39,10361.724,1644188403600,2022 02 07 00:00:03,3.1423496E7,0,0.0,0.0,0.0
1644192000000,2022 02 07 01:00:00,3055.4,3062.4,2992.85,3009.79,7513.726,1644192003600,2022 02 07 01:00:03,2.2707326E7,0,0.0,0.0,0.0
1644195600000,2022 02 07 02:00:00,3009.8,3031.5,2996.01,3019.86,3540.3655,1644195603600,2022 02 07 02:00:03,1.067513E7,0,0.0,0.0,0.0
1644199200000,2022 02 07 03:00:00,3019.81,3058.87,3018.0,3034.79,4456.5796,1644199203600,2022 02 07 03:00:03,1.353274E7,0,0.0,0.0,0.0
1644202800000,2022 02 07 04:00:00,3034.8,3073.46,3034.72,3069.07,5233.761,1644202803600,2022 02 07 04:00:03,1.6009843E7,0,0.0,0.0,0.0
1644206400000,2022 02 07 05:00:00,3068.88,3086.74,3055.61,3086.0,4608.333,1644206403600,2022 02 07 05:00:03,1.4178822E7,0,0.0,0.0,0.0
1644210000000,2022 02 07 06:00:00,3086.0,3110.0,3080.4,3092.2,6930.646,1644210003600,2022 02 07 06:00:03,2.1442818E7,0,0.0,0.0,0.0
1644213600000,2022 02 07 07:00:00,3092.2,3105.0,3079.2,3089.02,3972.2646,1644213603600,2022 02 07 07:00:03,1.2282437E7,0,0.0,0.0,0.0
1644217200000,2022 02 07 08:00:00,3089.02,3093.01,3068.0,3078.98,1972.3226,1644217203600,2022 02 07 08:00:03,6079628.0,0,0.0,0.0,0.0
1644220800000,2022 02 07 09:00:00,3078.99,3084.6,3062.3,3071.4,3689.296,1644220803600,2022 02 07 09:00:03,1.1339018E7,0,0.0,0.0,0.0
1644224400000,2022 02 07 10:00:00,3071.39,3077.0,3048.28,3066.62,3839.76,1644224403600,2022 02 07 10:00:03,1.175939E7,0,0.0,0.0,0.0
1644228000000,2022 02 07 11:00:00,3066.63,3076.98,3060.2,3070.83,2002.3302,1644228003600,2022 02 07 11:00:03,6144442.5,0,0.0,0.0,0.0
1644231600000,2022 02 07 12:00:00,3070.82,3076.98,3058.01,3067.19,2337.3972,1644231603600,2022 02 07 12:00:03,7174068.0,0,0.0,0.0,0.0
1644235200000,2022 02 07 13:00:00,3067.02,3085.0,3054.28,3071.0,7386.6914,1644235203600,2022 02 07 13:00:03,2.272157E7,0,0.0,0.0,0.0
1644238800000,2022 02 07 14:00:00,3071.0,3093.0,3068.81,3087.96,2666.8594,1644238803600,2022 02 07 14:00:03,8223733.5,0,0.0,0.0,0.0
1644242400000,2022 02 07 15:00:00,3087.96,3127.2,3083.01,3122.4,9868.934,1644242403600,2022 02 07 15:00:03,3.0651446E7,0,0.0,0.0,0.0
1644246000000,2022 02 07 16:00:00,3122.41,3126.51,3093.06,3122.32,9071.842,1644246003600,2022 02 07 16:00:03,2.8240386E7,0,0.0,0.0,0.0
1644249600000,2022 02 07 17:00:00,3122.08,3150.0,3106.92,3131.2,10648.039,1644249603600,2022 02 07 17:00:03,3.3316646E7,0,0.0,0.0,0.0
1644253200000,2022 02 07 18:00:00,3131.19,3148.33,3115.2,3144.75,5536.9956,1644253203600,2022 02 07 18:00:03,1.7338382E7,0,0.0,0.0,0.0
1644256800000,2022 02 07 19:00:00,3144.75,3180.93,3138.54,3162.31,11102.813,1644256803600,2022 02 07 19:00:03,3.5075368E7,0,0.0,0.0,0.0
1644260400000,2022 02 07 20:00:00,3162.34,3186.0,3158.24,3166.68,3872.8284,1644260403600,2022 02 07 20:00:03,1.2296808E7,0,0.0,0.0,0.0
1644264000000,2022 02 07 21:00:00,3166.68,3184.22,3133.33,3154.03,3376.591,1644264003600,2022 02 07 21:00:03,1.0676861E7,0,0.0,0.0,0.0
