openTime, openTimeStamp, open, high, low, close, volume, closeTime, closeTimeStamp, quoteAssetVolume, numberOfTrades, takerBuyBase, takerBuyQuote, IGNORE
1643310000000,2022 01 27 20:00:00,2.107E-5,2.115E-5,2.062E-5,2.083E-5,4.7000982E10,1643310003600,2022 01 27 20:00:03,980400.9,0,0.0,0.0,0.0
1643313600000,2022 01 27 21:00:00,2.084E-5,2.181E-5,2.057E-5,2.069E-5,2.14575137E11,1643313603600,2022 01 27 21:00:03,4539064.0,0,0.0,0.0,0.0
1643317200000,2022 01 27 22:00:00,2.07E-5,2.113E-5,2.055E-5,2.106E-5,9.2132467E10,1643317203600,2022 01 27 22:00:03,1916819.6,0,0.0,0.0,0.0
1643320800000,2022 01 27 23:00:00,2.106E-5,2.143E-5,2.089E-5,2.13E-5,1.98883983E11,1643320803600,2022 01 27 23:00:03,4215437.5,0,0.0,0.0,0.0
1643324400000,2022 01 28 00:00:00,2.129E-5,2.137E-5,2.096E-5,2.128E-5,9.1739562E10,1643324403600,2022 01 28 00:00:03,1944890.9,0,0.0,0.0,0.0
1643328000000,2022 01 28 01:00:00,2.127E-5,2.142E-5,2.111E-5,2.124E-5,4.7771165E10,1643328003600,2022 01 28 01:00:03,1014971.7,0,0.0,0.0,0.0
1643331600000,2022 01 28 02:00:00,2.123E-5,2.133E-5,2.06E-5,2.084E-5,7.4623173E10,1643331603600,2022 01 28 02:00:03,1560419.1,0,0.0,0.0,0.0
1643335200000,2022 01 28 03:00:00,2.084E-5,2.106E-5,2.06E-5,2.1E-5,3.4480976E10,1643335203600,2022 01 28 03:00:03,717354.06,0,0.0,0.0,0.0
1643338800000,2022 01 28 04:00:00,2.099E-5,2.121E-5,2.096E-5,2.11E-5,3.9623168E10,1643338803600,2022 01 28 04:00:03,835626.4,0,0.0,0.0,0.0
1643342400000,2022 01 28 05:00:00,2.11E-5,2.117E-5,2.079E-5,2.099E-5,3.41028762E10,1643342403600,2022 01 28 05:00:03,713481.6,0,0.0,0.0,0.0
1643346000000,2022 01 28 06:00:00,2.099E-5,2.119E-5,2.09E-5,2.107E-5,1.35186944E10,1643346003600,2022 01 28 06:00:03,284749.38,0,0.0,0.0,0.0
1643349600000,2022 01 28 07:00:00,2.107E-5,2.12E-5,2.089E-5,2.09E-5,3.4587689E10,1643349603600,2022 01 28 07:00:03,728708.8,0,0.0,0.0,0.0
