openTime, openTimeStamp, open, high, low, close, volume, closeTime, closeTimeStamp, quoteAssetVolume, numberOfTrades, takerBuyBase, takerBuyQuote, IGNORE
1643310000000,2022 01 27 20:00:00,2.9162,2.9321,2.855,2.8794,136162.53,1643310003600,2022 01 27 20:00:03,392914.62,0,0.0,0.0,0.0
1643313600000,2022 01 27 21:00:00,2.881,2.9112,2.7759,2.7776,238230.97,1643313603600,2022 01 27 21:00:03,674333.25,0,0.0,0.0,0.0
1643317200000,2022 01 27 22:00:00,2.7806,2.8193,2.7638,2.8002,209581.48,1643317203600,2022 01 27 22:00:03,584543.56,0,0.0,0.0,0.0
1643320800000,2022 01 27 23:00:00,2.7946,2.8627,2.7525,2.8337,177183.69,1643320803600,2022 01 27 23:00:03,494236.7,0,0.0,0.0,0.0
1643324400000,2022 01 28 00:00:00,2.8323,2.9322,2.8323,2.9065,213044.05,1643324403600,2022 01 28 00:00:03,613317.5,0,0.0,0.0,0.0
1643328000000,2022 01 28 01:00:00,2.9054,2.9373,2.8508,2.8984,296736.38,1643328003600,2022 01 28 01:00:03,856033.4,0,0.0,0.0,0.0
1643331600000,2022 01 28 02:00:00,2.9005,3.0153,2.8723,2.8963,314016.97,1643331603600,2022 01 28 02:00:03,921556.1,0,0.0,0.0,0.0
1643335200000,2022 01 28 03:00:00,2.8946,2.9424,2.8482,2.93,146148.89,1643335203600,2022 01 28 03:00:03,423653.38,0,0.0,0.0,0.0
1643338800000,2022 01 28 04:00:00,2.93,2.9829,2.9235,2.9653,160604.36,1643338803600,2022 01 28 04:00:03,474972.88,0,0.0,0.0,0.0
1643342400000,2022 01 28 05:00:00,2.9625,2.9763,2.9133,2.9364,108030.91,1643342403600,2022 01 28 05:00:03,318215.53,0,0.0,0.0,0.0
1643346000000,2022 01 28 06:00:00,2.9357,2.95,2.8987,2.9425,158948.39,1643346003600,2022 01 28 06:00:03,464411.2,0,0.0,0.0,0.0
1643349600000,2022 01 28 07:00:00,2.9418,2.9686,2.9106,2.9141,128175.516,1643349603600,2022 01 28 07:00:03,377188.25,0,0.0,0.0,0.0
1643353200000,2022 01 28 08:00:00,2.9091,2.9411,2.8892,2.8956,147529.92,1643353203600,2022 01 28 08:00:03,429451.16,0,0.0,0.0,0.0
1643356800000,2022 01 28 09:00:00,2.8954,2.9163,2.8653,2.9092,148503.92,1643356803600,2022 01 28 09:00:03,428654.47,0,0.0,0.0,0.0
1643360400000,2022 01 28 10:00:00,2.9093,2.927,2.8688,2.8977,115681.77,1643360403600,2022 01 28 10:00:03,335869.38,0,0.0,0.0,0.0
1643364000000,2022 01 28 11:00:00,2.8946,2.9044,2.8531,2.8932,129818.8,1643364003600,2022 01 28 11:00:03,374511.47,0,0.0,0.0,0.0
1643367600000,2022 01 28 12:00:00,2.8907,2.9006,2.8513,2.8882,175706.33,1643367603600,2022 01 28 12:00:03,505614.44,0,0.0,0.0,0.0
1643371200000,2022 01 28 13:00:00,2.8886,2.8988,2.8312,2.8544,124308.91,1643371203600,2022 01 28 13:00:03,356199.56,0,0.0,0.0,0.0
1643374800000,2022 01 28 14:00:00,2.8555,2.9235,2.8459,2.9087,168495.33,1643374803600,2022 01 28 14:00:03,487822.62,0,0.0,0.0,0.0
1643378400000,2022 01 28 15:00:00,2.9119,2.93,2.8637,2.8944,147911.75,1643378403600,2022 01 28 15:00:03,428336.53,0,0.0,0.0,0.0
1643382000000,2022 01 28 16:00:00,2.8931,2.96,2.8816,2.948,165757.55,1643382003600,2022 01 28 16:00:03,483545.8,0,0.0,0.0,0.0
1643385600000,2022 01 28 17:00:00,2.9501,2.9948,2.9406,2.9542,173463.14,1643385603600,2022 01 28 17:00:03,514545.03,0,0.0,0.0,0.0
1643389200000,2022 01 28 18:00:00,2.9592,2.9761,2.9149,2.9258,92403.39,1643389203600,2022 01 28 18:00:03,272372.06,0,0.0,0.0,0.0
