openTime, openTimeStamp, open, high, low, close, volume, closeTime, closeTimeStamp, quoteAssetVolume, numberOfTrades, takerBuyBase, takerBuyQuote, IGNORE
1643670000000,2022 02 01 00:00:00,2680.0,2690.0,2676.7,2686.94,14428.258,1643673599999,2022 02 01 00:59:59,3.873252E7,19546,9075.239,2.4366364E7,0.0
1643673600000,2022 02 01 01:00:00,2686.94,2706.0,2673.52,2689.05,14612.913,1643677199999,2022 02 01 01:59:59,3.9300528E7,27009,7720.336,2.0771964E7,0.0
1643677200000,2022 02 01 02:00:00,2689.04,2702.0,2678.79,2684.54,11068.098,1643680799999,2022 02 01 02:59:59,2.9810272E7,22156,6541.656,1.7614532E7,0.0
1643680800000,2022 02 01 03:00:00,2684.54,2719.0,2680.08,2715.08,12803.108,1643684399999,2022 02 01 03:59:59,3.458028E7,32229,7113.9287,1.9207536E7,0.0
1643684400000,2022 02 01 04:00:00,2715.09,2757.9,2709.3,2751.62,30008.547,1643687999999,2022 02 01 04:59:59,8.212252E7,60391,17304.97,4.7353324E7,0.0
1643688000000,2022 02 01 05:00:00,2751.63,2767.31,2734.0,2743.97,14842.096,1643691599999,2022 02 01 05:59:59,4.0780072E7,27258,6478.665,1.780835E7,0.0
1643691600000,2022 02 01 06:00:00,2743.97,2751.75,2731.57,2732.85,11401.285,1643695199999,2022 02 01 06:59:59,3.1272654E7,19484,5259.506,1.4424779E7,0.0
1643695200000,2022 02 01 07:00:00,2732.85,2739.16,2718.22,2733.23,11106.376,1643698799999,2022 02 01 07:59:59,3.0312678E7,23013,5436.1406,1.4836325E7,0.0
1643698800000,2022 02 01 08:00:00,2733.22,2746.56,2732.21,2736.69,7894.094,1643702399999,2022 02 01 08:59:59,2.1627376E7,18503,4145.7393,1.1358367E7,0.0
1643702400000,2022 02 01 09:00:00,2736.69,2766.0,2732.0,2765.65,12231.272,1643705999999,2022 02 01 09:59:59,3.3633328E7,24963,7132.024,1.9608042E7,0.0
1643706000000,2022 02 01 10:00:00,2765.28,2796.79,2728.97,2735.4,35639.57,1643709599999,2022 02 01 10:59:59,9.850132E7,63580,16871.727,4.6652032E7,0.0
1643709600000,2022 02 01 11:00:00,2735.4,2746.35,2719.0,2735.96,15748.276,1643713199999,2022 02 01 11:59:59,4.3060212E7,29966,7360.0405,2.0128094E7,0.0
1643713200000,2022 02 01 12:00:00,2735.95,2769.8,2729.99,2761.32,18735.365,1643716799999,2022 02 01 12:59:59,5.1583416E7,31912,8365.696,2.3018534E7,0.0
1643716800000,2022 02 01 13:00:00,2761.31,2788.96,2754.76,2781.23,17411.963,1643720399999,2022 02 01 13:59:59,4.8301888E7,34377,8638.206,2.3966226E7,0.0
1643720400000,2022 02 01 14:00:00,2781.23,2804.99,2766.26,2791.61,22437.102,1643723999999,2022 02 01 14:59:59,6.256176E7,45956,12346.021,3.4434012E7,0.0
1643724000000,2022 02 01 15:00:00,2791.6,2811.26,2756.3,2771.45,32716.395,1643727599999,2022 02 01 15:59:59,9.1137536E7,65900,15859.915,4.4204064E7,0.0
1643727600000,2022 02 01 16:00:00,2771.46,2773.68,2732.05,2768.54,26624.084,1643731199999,2022 02 01 16:59:59,7.3202832E7,50111,13316.172,3.6620028E7,0.0
1643731200000,2022 02 01 17:00:00,2768.14,2813.0,2766.18,2801.99,20783.578,1643734799999,2022 02 01 17:59:59,5.7933188E7,42013,12391.981,3.4554556E7,0.0
1643734800000,2022 02 01 18:00:00,2801.98,2809.0,2765.48,2782.01,16688.926,1643738399999,2022 02 01 18:59:59,4.6462804E7,32988,7172.14,1.9973776E7,0.0
1643738400000,2022 02 01 19:00:00,2782.0,2801.11,2760.0,2768.32,11438.121,1643741999999,2022 02 01 19:59:59,3.1817118E7,25837,6065.517,1.6880106E7,0.0
1643742000000,2022 02 01 20:00:00,2768.32,2777.28,2750.44,2751.02,11915.988,1643745599999,2022 02 01 20:59:59,3.2910108E7,27303,5368.5034,1.4826325E7,0.0
1643745600000,2022 02 01 21:00:00,2751.03,2786.0,2750.42,2770.08,9831.583,1643749199999,2022 02 01 21:59:59,2.7233312E7,22736,5447.0596,1.5082609E7,0.0
1643749200000,2022 02 01 22:00:00,2769.56,2797.66,2769.38,2796.58,10031.446,1643752799999,2022 02 01 22:59:59,2.7936928E7,22414,5612.8706,1.5631437E7,0.0
1643752800000,2022 02 01 23:00:00,2796.57,2804.02,2775.06,2788.05,6818.351,1643756399999,2022 02 01 23:59:59,1.9028686E7,22473,3643.5623,1.0169351E7,0.0
1643756400000,2022 02 02 00:00:00,2788.05,2803.78,2776.26,2787.23,7245.7373,1643759999999,2022 02 02 00:59:59,2.0230676E7,17771,3774.665,1.0538646E7,0.0
1643760000000,2022 02 02 01:00:00,2787.48,2803.53,2760.0,2772.63,15057.821,1643763599999,2022 02 02 01:59:59,4.1855132E7,27169,7641.96,2.1237588E7,0.0
1643763600000,2022 02 02 02:00:00,2772.62,2780.25,2744.36,2756.54,11596.615,1643767199999,2022 02 02 02:59:59,3.2001072E7,22735,5401.551,1.4908032E7,0.0
1643767200000,2022 02 02 03:00:00,2756.54,2779.34,2741.67,2775.33,10782.797,1643770799999,2022 02 02 03:59:59,2.98092E7,18935,5913.6587,1.6349488E7,0.0
1643770800000,2022 02 02 04:00:00,2775.33,2797.0,2774.16,2781.05,9299.977,1643774399999,2022 02 02 04:59:59,2.5917202E7,17727,4761.921,1.3270249E7,0.0
1643774400000,2022 02 02 05:00:00,2781.05,2781.06,2757.44,2759.95,9904.914,1643777999999,2022 02 02 05:59:59,2.7419846E7,16877,5274.747,1.4602753E7,0.0
1643778000000,2022 02 02 06:00:00,2759.95,2769.04,2750.0,2764.01,9676.695,1643781599999,2022 02 02 06:59:59,2.6683788E7,15891,4944.0024,1.3634779E7,0.0
1643781600000,2022 02 02 07:00:00,2764.0,2781.43,2741.05,2752.99,12137.868,1643785199999,2022 02 02 07:59:59,3.3488136E7,22859,5530.152,1.5264984E7,0.0
1643785200000,2022 02 02 08:00:00,2752.98,2761.85,2742.38,2749.36,8760.765,1643788799999,2022 02 02 08:59:59,2.41079E7,18483,4055.4849,1.1160274E7,0.0
1643788800000,2022 02 02 09:00:00,2749.35,2764.2,2740.0,2762.91,8929.922,1643792399999,2022 02 02 09:59:59,2.4590976E7,18636,4629.311,1.2749263E7,0.0
1643792400000,2022 02 02 10:00:00,2762.92,2777.71,2756.84,2775.35,9040.754,1643795999999,2022 02 02 10:59:59,2.5031488E7,20592,5160.985,1.4290263E7,0.0
1643796000000,2022 02 02 11:00:00,2775.36,2776.06,2761.23,2764.15,7796.8677,1643799599999,2022 02 02 11:59:59,2.1573234E7,17448,3400.0273,9408590.0,0.0
1643799600000,2022 02 02 12:00:00,2764.15,2769.4,2752.89,2766.89,5235.8667,1643803199999,2022 02 02 12:59:59,1.4457425E7,15638,2694.9895,7440930.0,0.0
1643803200000,2022 02 02 13:00:00,2766.9,2810.88,2765.7,2800.99,23052.383,1643806799999,2022 02 02 13:59:59,6.4383672E7,39441,12787.057,3.5692056E7,0.0
1643806800000,2022 02 02 14:00:00,2800.99,2804.17,2770.53,2773.99,15138.856,1643810399999,2022 02 02 14:59:59,4.2147964E7,26185,6865.4233,1.9117846E7,0.0
1643810400000,2022 02 02 15:00:00,2774.0,2777.6,2684.0,2687.05,53915.043,1643813999999,2022 02 02 15:59:59,1.47203936E8,78346,22800.932,6.2285744E7,0.0
1643814000000,2022 02 02 16:00:00,2687.05,2703.17,2652.92,2663.9,41081.035,1643817599999,2022 02 02 16:59:59,1.0990088E8,65976,19847.096,5.3098656E7,0.0
1643817600000,2022 02 02 17:00:00,2663.9,2674.72,2638.0,2669.77,37920.13,1643821199999,2022 02 02 17:59:59,1.00670944E8,59306,18004.154,4.780746E7,0.0
1643821200000,2022 02 02 18:00:00,2669.76,2694.99,2662.18,2685.83,18552.133,1643824799999,2022 02 02 18:59:59,4.9696588E7,33576,9331.246,2.4998856E7,0.0
1643824800000,2022 02 02 19:00:00,2685.83,2689.15,2672.94,2686.89,9366.167,1643828399999,2022 02 02 19:59:59,2.5122118E7,21259,5233.8916,1.4038161E7,0.0
1643828400000,2022 02 02 20:00:00,2686.89,2719.92,2684.18,2707.21,16706.168,1643831999999,2022 02 02 20:59:59,4.5169636E7,29923,9368.442,2.533851E7,0.0
1643832000000,2022 02 02 21:00:00,2707.26,2735.0,2691.52,2728.13,20883.447,1643835599999,2022 02 02 21:59:59,5.6581892E7,38475,11424.357,3.0960074E7,0.0
1643835600000,2022 02 02 22:00:00,2727.93,2733.53,2612.72,2654.21,45036.05,1643839199999,2022 02 02 22:59:59,1.19472816E8,86575,22813.229,6.053712E7,0.0
1643839200000,2022 02 02 23:00:00,2654.22,2700.0,2642.81,2679.06,24266.32,1643842799999,2022 02 02 23:59:59,6.4860168E7,63517,13735.708,3.6705624E7,0.0
1643842800000,2022 02 03 00:00:00,2679.36,2710.75,2669.17,2680.67,23713.527,1643846399999,2022 02 03 00:59:59,6.3812772E7,44294,14194.801,3.8213528E7,0.0
