openTime, openTimeStamp, open, high, low, close, volume, closeTime, closeTimeStamp, quoteAssetVolume, numberOfTrades, takerBuyBase, takerBuyQuote, IGNORE
1643670000000,2022 02 01 00:00:00,2680.0,2690.0,2676.7,2686.94,14428.234,1643673600000,2022 02 01 01:00:00,0.0,0,0.0,0.0,0.0
1643673600000,2022 02 01 01:00:00,2686.94,2706.0,2673.52,2689.05,14612.831,1643677200000,2022 02 01 02:00:00,0.0,0,0.0,0.0,0.0
1643677200000,2022 02 01 02:00:00,2689.04,2702.0,2678.79,2684.54,11068.012,1643680800000,2022 02 01 03:00:00,0.0,0,0.0,0.0,0.0
1643680800000,2022 02 01 03:00:00,2684.54,2719.0,2680.08,2715.08,12803.06,1643684400000,2022 02 01 04:00:00,0.0,0,0.0,0.0,0.0
1643684400000,2022 02 01 04:00:00,2715.09,2757.9,2709.3,2751.62,30008.5,1643688000000,2022 02 01 05:00:00,0.0,0,0.0,0.0,0.0
1643688000000,2022 02 01 05:00:00,2751.63,2767.31,2734.0,2743.97,14842.04,1643691600000,2022 02 01 06:00:00,0.0,0,0.0,0.0,0.0
1643691600000,2022 02 01 06:00:00,2743.97,2751.75,2731.57,2732.85,11401.255,1643695200000,2022 02 01 07:00:00,0.0,0,0.0,0.0,0.0
1643695200000,2022 02 01 07:00:00,2732.85,2739.16,2718.22,2733.23,11106.34,1643698800000,2022 02 01 08:00:00,0.0,0,0.0,0.0,0.0
1643698800000,2022 02 01 08:00:00,2733.22,2746.56,2732.21,2736.69,7894.063,1643702400000,2022 02 01 09:00:00,0.0,0,0.0,0.0,0.0
1643702400000,2022 02 01 09:00:00,2736.69,2766.0,2732.0,2765.65,12231.225,1643706000000,2022 02 01 10:00:00,0.0,0,0.0,0.0,0.0
1643706000000,2022 02 01 10:00:00,2765.28,2796.79,2728.97,2735.4,35639.527,1643709600000,2022 02 01 11:00:00,0.0,0,0.0,0.0,0.0
1643709600000,2022 02 01 11:00:00,2735.4,2746.35,2719.0,2735.96,15748.256,1643713200000,2022 02 01 12:00:00,0.0,0,0.0,0.0,0.0
1643713200000,2022 02 01 12:00:00,2735.95,2769.8,2729.99,2761.32,18735.328,1643716800000,2022 02 01 13:00:00,0.0,0,0.0,0.0,0.0
1643716800000,2022 02 01 13:00:00,2761.31,2788.96,2754.76,2781.23,17411.963,1643720400000,2022 02 01 14:00:00,0.0,0,0.0,0.0,0.0
1643720400000,2022 02 01 14:00:00,2781.23,2804.99,2766.26,2791.61,22437.102,1643724000000,2022 02 01 15:00:00,0.0,0,0.0,0.0,0.0
1643724000000,2022 02 01 15:00:00,2791.6,2811.26,2756.3,2771.45,32716.312,1643727600000,2022 02 01 16:00:00,0.0,0,0.0,0.0,0.0
1643727600000,2022 02 01 16:00:00,2771.46,2773.68,2732.05,2768.54,26624.025,1643731200000,2022 02 01 17:00:00,0.0,0,0.0,0.0,0.0
1643731200000,2022 02 01 17:00:00,2768.14,2813.0,2766.18,2801.99,20783.508,1643734800000,2022 02 01 18:00:00,0.0,0,0.0,0.0,0.0
1643734800000,2022 02 01 18:00:00,2801.98,2809.0,2765.48,2782.01,16688.893,1643738400000,2022 02 01 19:00:00,0.0,0,0.0,0.0,0.0
1643738400000,2022 02 01 19:00:00,2782.0,2801.11,2760.0,2768.32,11438.121,1643742000000,2022 02 01 20:00:00,0.0,0,0.0,0.0,0.0
1643742000000,2022 02 01 20:00:00,2768.32,2777.28,2750.44,2751.02,11915.964,1643745600000,2022 02 01 21:00:00,0.0,0,0.0,0.0,0.0
1643745600000,2022 02 01 21:00:00,2751.03,2786.0,2750.42,2770.08,9831.539,1643749200000,2022 02 01 22:00:00,0.0,0,0.0,0.0,0.0
1643749200000,2022 02 01 22:00:00,2769.56,2797.66,2769.38,2796.58,10031.446,1643752800000,2022 02 01 23:00:00,0.0,0,0.0,0.0,0.0
1643752800000,2022 02 01 23:00:00,2796.57,2804.02,2775.06,2788.05,6818.3257,1643756400000,2022 02 02 00:00:00,0.0,0,0.0,0.0,0.0
1643756400000,2022 02 02 00:00:00,2788.05,2803.78,2776.26,2787.23,7245.7373,1643760000000,2022 02 02 01:00:00,0.0,0,0.0,0.0,0.0
1643760000000,2022 02 02 01:00:00,2787.48,2803.53,2760.0,2772.63,15057.802,1643763600000,2022 02 02 02:00:00,0.0,0,0.0,0.0,0.0
1643763600000,2022 02 02 02:00:00,2772.62,2780.25,2744.36,2756.54,11596.538,1643767200000,2022 02 02 03:00:00,0.0,0,0.0,0.0,0.0
1643767200000,2022 02 02 03:00:00,2756.54,2779.34,2741.67,2775.33,10782.753,1643770800000,2022 02 02 04:00:00,0.0,0,0.0,0.0,0.0
1643770800000,2022 02 02 04:00:00,2775.33,2797.0,2774.16,2781.05,9299.977,1643774400000,2022 02 02 05:00:00,0.0,0,0.0,0.0,0.0
1643774400000,2022 02 02 05:00:00,2781.05,2781.06,2757.44,2759.95,9904.831,1643778000000,2022 02 02 06:00:00,0.0,0,0.0,0.0,0.0
1643778000000,2022 02 02 06:00:00,2759.95,2769.04,2750.0,2764.01,9676.666,1643781600000,2022 02 02 07:00:00,0.0,0,0.0,0.0,0.0
1643781600000,2022 02 02 07:00:00,2764.0,2781.43,2741.05,2752.99,12137.856,1643785200000,2022 02 02 08:00:00,0.0,0,0.0,0.0,0.0
1643785200000,2022 02 02 08:00:00,2752.98,2761.85,2742.38,2749.36,8760.765,1643788800000,2022 02 02 09:00:00,0.0,0,0.0,0.0,0.0
1643788800000,2022 02 02 09:00:00,2749.35,2764.2,2740.0,2762.91,8929.823,1643792400000,2022 02 02 10:00:00,0.0,0,0.0,0.0,0.0
1643792400000,2022 02 02 10:00:00,2762.92,2777.71,2756.84,2775.35,9040.7,1643796000000,2022 02 02 11:00:00,0.0,0,0.0,0.0,0.0
1643796000000,2022 02 02 11:00:00,2775.36,2776.06,2761.23,2764.15,7796.792,1643799600000,2022 02 02 12:00:00,0.0,0,0.0,0.0,0.0
1643799600000,2022 02 02 12:00:00,2764.15,2769.4,2752.89,2766.89,5235.8574,1643803200000,2022 02 02 13:00:00,0.0,0,0.0,0.0,0.0
1643803200000,2022 02 02 13:00:00,2766.9,2810.88,2765.7,2800.99,23052.344,1643806800000,2022 02 02 14:00:00,0.0,0,0.0,0.0,0.0
1643806800000,2022 02 02 14:00:00,2800.99,2804.17,2770.53,2773.99,15138.768,1643810400000,2022 02 02 15:00:00,0.0,0,0.0,0.0,0.0
1643810400000,2022 02 02 15:00:00,2774.0,2777.6,2684.0,2687.06,53915.027,1643814000000,2022 02 02 16:00:00,0.0,0,0.0,0.0,0.0
1643814000000,2022 02 02 16:00:00,2687.05,2703.17,2652.92,2663.9,41080.906,1643817600000,2022 02 02 17:00:00,0.0,0,0.0,0.0,0.0
1643817600000,2022 02 02 17:00:00,2663.9,2674.72,2638.0,2669.77,37920.06,1643821200000,2022 02 02 18:00:00,0.0,0,0.0,0.0,0.0
1643821200000,2022 02 02 18:00:00,2669.76,2694.99,2662.18,2685.83,18552.102,1643824800000,2022 02 02 19:00:00,0.0,0,0.0,0.0,0.0
1643824800000,2022 02 02 19:00:00,2685.83,2689.15,2672.94,2686.89,9366.167,1643828400000,2022 02 02 20:00:00,0.0,0,0.0,0.0,0.0
1643828400000,2022 02 02 20:00:00,2686.89,2719.92,2684.18,2707.21,16706.168,1643832000000,2022 02 02 21:00:00,0.0,0,0.0,0.0,0.0
1643832000000,2022 02 02 21:00:00,2707.26,2735.0,2691.52,2727.93,20883.182,1643835600000,2022 02 02 22:00:00,0.0,0,0.0,0.0,0.0
1643835600000,2022 02 02 22:00:00,2727.93,2733.53,2612.72,2654.21,45036.0,1643839200000,2022 02 02 23:00:00,0.0,0,0.0,0.0,0.0
1643839200000,2022 02 02 23:00:00,2654.22,2700.0,2642.81,2679.36,24266.24,1643842800000,2022 02 03 00:00:00,0.0,0,0.0,0.0,0.0
